abb,equipo,logo,logo2,color,id,año
BAR,Barça,https://upload.wikimedia.org/wikipedia/en/4/47/FC_Barcelona_%28crest%29.svg,https://upload.wikimedia.org/wikipedia/en/4/47/FC_Barcelona_%28crest%29.svg,#154284,13,2024
BKN,Baskonia,https://static.acb.com/logos/1718/baskonia_00.png,https://static.acb.com/logos/1718/baskonia_00.png,#C8102E,14,2024
GIR,Bàsquet Girona,https://static.acb.com/img/www/clubes2023/BASQUET-GIRONA-Logonegativo2223.png,https://static.acb.com/img/www/clubes2023/BASQUET-GIRONA-Logonegativo2223.png,#B32836,3,2024
BAX,BAXI Manresa,https://static.acb.com/img/31/9/2f/75632.png,https://static.acb.com/img/31/9/2f/75632.png,#D5001E,9,2024
CAZ,Casademont Zaragoza,https://static.acb.com/img/3a/16/1c/logo_zza_2020.png,https://static.acb.com/img/3a/16/1c/logo_zza_2020.png,#C8102E,57,2024
COV,Coviran Granada,https://static.acb.com/img/www/clubes2023/coviran-granada_logopositivo.png,https://static.acb.com/img/www/clubes2023/coviran-granada_logopositivo.png,#C2213C,591,2024
DGC,Dreamland Gran Canaria,https://static.acb.com/img/2/58/5b/75611.png,https://static.acb.com/img/2/58/5b/75611.png,#FFB718,22,2024
JOV,Joventut Badalona,https://static.acb.com/img/e/53/16/1453195579.png,https://static.acb.com/img/e/53/16/1453195579.png,#2F8E62,624,2024
LNT,Lenovo Tenerife,https://static.acb.com/img/www/clubes2023/LenovoTenerife-pos-vert.png,https://static.acb.com/img/www/clubes2023/LenovoTenerife-pos-vert.png,#E9CD5F,8,2024
MOB,Monbus Obradoiro,https://static.acb.com/img/www/clubes2023/MonbusObradoiro-2023-LogoPos.png,https://static.acb.com/img/www/clubes2023/MonbusObradoiro-2023-LogoPos.png,#4A96C4,16,2024
MBA,MoraBanc Andorra,https://static.acb.com/img/43/43/28/75593.png,https://static.acb.com/img/43/43/28/75593.png,#0165BA,4,2024
RMB,Real Madrid,https://static.acb.com/img/www/clubes2023/RealMadridLogo202223.png,https://static.acb.com/img/www/clubes2023/RealMadridLogo202223.png,#FEBE10,28,2024
BRE,Río Breogán,https://static.acb.com/logos/1718/breogan_00.png,https://static.acb.com/logos/1718/breogan_00.png,#85ADEA,12,2024
SBB,Surne Bilbao Basket,https://static.acb.com/img/www/clubes2022/logo_surnebb_pos.png,https://static.acb.com/img/www/clubes2022/logo_surnebb_neg.png,#000000,25,2024
UCM,UCAM Murcia,https://static.acb.com/img/14/31/34/75635.png,https://static.acb.com/img/58/39/21/75578.png,#A51A14,10,2024
UNI,Unicaja,https://static.acb.com/img/www/clubes2022/Logoescudo_unicaja2.png,https://static.acb.com/img/www/clubes2022/Logoescudo_unicaja2.png,#3D9C35,5,2024
VBC,Valencia Basket,https://static.acb.com/img/23/2/25/1654748673.png,https://static.acb.com/img/23/2/25/1654748673.png,#FC6C0F,2,2024
ZPA,Zunder Palencia,https://static.acb.com/img/www/clubes2024/2324ZunderPalenciaLogo.png,https://static.acb.com/img/www/clubes2024/2324ZunderPalenciaLogo.png,#5F259F,592,2024
